,Zip_Code,Post Office City:,County: ,Timezone: ,Area code: ,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income, Male, Female, White, Black Or African American, American Indian Or Alaskan Native, Asian, Husband Wife Family Households, Single Guardian, Singles, Singles With Roommate, Households without Kids, Households with Kids, In Occupied Housing Units, Correctional Facility For Adults, Juvenile Facilities, Nursing Facilities, Owned Households With A Mortgage, Owned Households Free & Clear, Renter Occupied Households, Households Vacant, For Rent, Rented & Unoccupied, For Sale Only, Sold & Unoccupied, Studio Apartment, 1 Bedroom, 2 Bedroom, 3+ Bedroom, Worked Full-time with Earnings, Worked Part-time with Earnings, No Earnings," Car, truck, or van", Public transportation, Taxicab, Motorcycle, Less than High School Diploma, High School Graduate, Associate's degree, Bachelor's degree, Enrolled in Public School, Enrolled in Private School, Not Enrolled in School,Neighborhood: ,Coordinates:
28,63105.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:19pm),314 (Area Code Map),"17,667","6,647","7,399","$559,500",2.66,0.00,"6,298","$86,031","8,959","8,708","13,949","1,346",25,"1,846","2,757",478,"2,478",585,"4,812","1,486","13,007","1,218",38,96,"2,492","1,229","2,577","1,101",306,16,207,44,109,805,"1,591",439,"5,355","5,283","4,218","6,425",352,0,28,321,"2,024",157,"3,569","1,653",806,108,,
29,63117.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:19pm),314 (Area Code Map),"9,163","3,889","5,060","$230,000",2.36,0.00,"4,543","$62,593","4,305","4,858","7,452","1,037",24,442,"1,575",550,"1,934",484,"3,603",940,"9,107",0,0,0,"1,868",672,"2,003",517,228,17,69,16,88,767,877,237,"4,077","1,827","1,776","4,642",225,0,0,308,"1,781",351,"2,261",606,537,101,,
30,63143.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:19pm),,"9,678","4,910","5,708","$142,400",1.97,0.00,"5,022","$36,210","4,892","4,786","7,340","1,583",28,226,"1,323",814,"2,366",519,"3,987","1,035","9,671",0,0,0,"1,806",491,"2,725",686,385,10,108,19,135,"1,649",809,270,"3,974","2,586","2,021","5,373",264,18,0,728,"3,385",547,"1,822",771,289,201,Ellendale,
31,63119.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:19pm),,"33,969","4,048","15,446","$216,200",8.39,0.00,"14,399","$68,348","15,868","18,101","29,542","2,934",64,713,"6,817","1,676","4,973",933,"10,378","4,021","32,601",0,54,700,"7,852","2,766","3,781","1,047",448,16,203,46,67,"1,259","1,639",707,"12,449","7,396","7,742","15,255",369,10,8,990,"7,549","1,417","7,395","4,182","1,611",234,Lindenwood Park,
32,63123.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:19pm),,"49,308","3,927","23,271","$147,400",12.56,0.02,"22,022","$52,877","23,520","25,788","45,779",939,112,"1,507","9,790","3,231","7,635","1,366","16,429","5,593","49,142",0,11,139,"11,059","5,509","5,454","1,249",401,38,281,85,156,"2,124","2,679",768,"18,354","10,637","12,017","24,279",281,0,41,"3,193","18,624","2,785","7,533","4,675","2,238",581,St. Louis,
33,63125.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:19pm),,"32,201","3,242","14,961","$123,800",9.93,0.79,"13,884","$44,458","15,524","16,677","29,932",900,78,477,"5,766","2,466","4,868",784,"10,121","3,763","31,591",0,0,283,"6,641","3,362","3,881","1,077",321,22,249,51,120,999,"1,889",672,"10,634","6,728","9,367","14,293",393,0,29,"3,592","13,340","1,695","2,943","3,930",690,642,St. Louis,
34,63127.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:19pm),,"4,939",785,"2,216","$395,100",6.29,0.09,"2,060","$88,469","2,322","2,617","4,547",116,8,139,"1,201",164,616,79,"1,548",512,"4,761",0,0,124,977,555,528,156,47,5,43,9,64,155,181,77,"1,426",956,"1,560","1,773",51,0,0,210,"1,470",148,"1,020",488,393,17,St. Louis,
35,63126.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:19pm),,"15,112","3,253","6,811","$185,800",4.65,0.00,"6,486","$64,436","7,156","7,956","14,128",237,18,414,"3,441",839,"1,933",273,"4,757","1,729","15,004",0,0,0,"3,472","2,045",969,325,85,8,88,26,0,169,486,399,"5,101","3,141","3,889","6,733",45,0,12,498,"4,749",761,"3,054","2,143",512,284,St. Louis,
36,63128.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:19pm),,"29,356","1,955","13,134","$211,300",15.01,0.29,"12,508","$73,440","13,900","15,456","28,175",276,31,476,"7,102","1,264","3,585",557,"9,458","3,050","28,961",0,5,369,"6,373","3,686","2,449",626,213,13,141,39,182,752,"1,017",359,"10,027","6,009","8,781","13,351",36,0,16,"1,315","10,362","1,707","5,901","3,277","1,647",249,St. Louis,
37,63026.0,"Fenton, MO (View All Cities)",St. Louis County,Central (7:19pm),636 (Area Code Map),"44,124","1,744","17,360","$187,800",25.30,0.70,"16,539","$70,132","21,719","22,405","41,829",347,114,945,"9,653","2,610","3,415",861,"10,236","6,303","43,761",0,0,338,"10,230","3,644","2,665",821,394,12,186,38,31,453,"1,553",927,"15,682","9,005","9,342","20,694",34,0,8,"2,434","14,700","2,485","6,715","6,824","1,851",851,,
